ID,Cliente,Nombre,lat,lng,ID_EPS,Elemento
27,Eroski,PL MADRID FRUTA,37.3610968,-5.9680468,34,Plataforma
31,Eroski,PL M50 FRUTA,37.3610968,-5.9680468,34,Plataforma
11,Eroski,PPF PESCADO VEGALSA,43.3524852,-8.4242271,35,Plataforma
12,Eroski,PMG SIGUEIRO VEGONSA,42.9724724,-8.4376151,35,Plataforma
13,Eroski,PMG-BAJA ROTACION,42.996798,-8.431151,35,Plataforma
14,Eroski,PPF CONGELADO VEGONSA,43.3524852,-8.4242271,35,Plataforma
15,Eroski,PPF CHARCUTERIA VEGONSA,43.3524852,-8.4242271,35,Plataforma
16,Eroski,PPF CHARCUTERÃA SIGÃEIRO,42.97826,-8.43695,35,Plataforma
17,Eroski,PPF FRUTA SIGÃEIRO,42.97826,-8.43695,35,Plataforma
18,Eroski,PPF CARNE VEGONSA,43.3524852,-8.4242271,35,Plataforma
19,Eroski,SALA ELABORADO,43.3525609,-8.4235178,35,Plataforma
20,Eroski,PPF FRUTA VEGONSA,43.3524852,-8.4242271,35,Plataforma
21,Eroski,PPF LACTEOS VEGONSA,43.3524852,-8.4242271,35,Plataforma
22,Eroski,MANIPULACION CARNE,43.3525609,-8.4235178,35,Plataforma
23,Eroski,LONJA VIGO,43.3525609,-8.4235178,35,Plataforma
1,Eroski,ZAL FRESCOS,41.3146868,2.1380965,46,Plataforma
2,Eroski,CALIDAD CONCERTADA,41.3483125,2.1173407,46,Plataforma
3,Eroski,CALIDAD CONCERTADA CARNE,41.3483125,2.1173407,46,Plataforma
4,Eroski,DISTRIBUCION NORTE CIENCIES,41.4101,2.1265202,46,Plataforma
6,Eroski,INTERPLATAFORMAS,41.3483125,2.1173407,46,Plataforma
7,Eroski,PLAT ABRERA,41.518903,1.8917144,46,Plataforma
8,Eroski,ZAL ECOMMERCE,41.3188591,2.1410954,46,Plataforma
9,Eroski,INTERNET ALMACEN  CIENCIAS,41.3483125,2.1173407,46,Plataforma
10,Eroski,Frescos al corte ZAL,41.3188591,2.1410954,46,Plataforma
5,Eroski,SDF CONGELADOS CATALUÃA,41.5365572,2.1894175,47,Plataforma
35,Eroski,PPF ZARAGOZA,41.64867,-0.9816243,48,Plataforma
36,Eroski,PL ZARAGOZA CONGELADO,41.64867,-0.9816243,48,Plataforma
37,Eroski,PMG ZARAGOZA NUEVA.,41.64867,-0.9816243,48,Plataforma
38,Eroski,PMG NOAIN,42.9077753,-1.524717,48,Plataforma
39,Eroski,GENERICO PLATAF. PMG,43.1327371,-2.5530831,48,Plataforma
42,Eroski,CALIDAD CONCERTADA FRUTA,43.1295589,-2.5423293,48,Plataforma
43,Eroski,CALIDAD CONCERTADA FRUTA,43.1327371,-2.5530831,48,Plataforma
44,Eroski,CALIDAD CONCERTADA CARNE,43.1327371,-2.5530831,48,Plataforma
45,Eroski,CALIDAD CONCERTADA CARNE,43.1327371,-2.5530831,48,Plataforma
64,Eroski,PMG ELORRIO,43.1312721,-2.5593263,48,Plataforma
65,Eroski,PPF VITORIA,42.858934,-2.7162236,48,Plataforma
66,Eroski,PL AMOREBIETA CONGELADO,43.2311165,-2.7787962,48,Plataforma
